qid,n_items,pitfall_mirror_max,n_pitfall_mirrors,max_cos,mean_cos,max_jaccard,mean_jaccard,max_cos_same_marks,n_pairs,n_pairs_ge_0.5,n_pairs_ge_0.7,n_true_pairs_ge_0.5,n_true_pairs_ge_0.7
rar_medicine:0,10,0.3695424795150757,0,0.6332587599754333,0.21543197333812714,0.3333333333333333,0.07352027602027603,0.0,45,4,0,0,0
rar_medicine:3,8,0.6412486433982849,0,0.617813229560852,0.18394577503204346,0.2857142857142857,0.07178178963893249,0.0,28,2,0,0,0
rar_medicine:4,7,0.31001588702201843,0,0.578852117061615,0.17962628602981567,0.42857142857142855,0.07333613607386273,0.0,21,1,0,0,0
rar_medicine:5,11,0.7754141092300415,0,0.7090127468109131,0.1744261085987091,0.36363636363636365,0.05932534637080092,0.0,55,3,1,0,0
rar_medicine:6,10,0.30431923270225525,0,0.3746573328971863,0.08735980093479156,0.25,0.04416682990212402,0.0,45,0,0,0,0
rar_medicine:8,8,0.525631308555603,0,0.5295454859733582,0.08178778737783432,0.3076923076923077,0.03871676875878556,0.0,28,3,0,0,0
rar_medicine:10,10,0.42719364166259766,0,0.48031121492385864,0.1707305610179901,0.23076923076923078,0.06483024953871189,0.0,45,0,0,0,0
rar_medicine:14,10,0.0,0,0.4922356605529785,0.13420239090919495,0.25,0.036916278595845155,0.0,45,0,0,0,0
rar_medicine:22,9,0.0,0,0.47278153896331787,0.21491476893424988,0.25,0.05333842845130255,0.0,36,0,0,0,0
rar_medicine:23,11,0.16203388571739197,0,0.480042427778244,0.10547631233930588,0.1111111111111111,0.012014374514374511,0.0,55,0,0,0,0
rar_medicine:24,8,0.43870753049850464,0,0.4946020245552063,0.1762867122888565,0.2727272727272727,0.05122580792223649,0.0,28,0,0,0,0
rar_medicine:28,10,0.41181671619415283,0,0.6283382177352905,0.12247499078512192,0.25,0.045492823214701446,0.0,45,1,0,0,0
rar_medicine:37,11,0.3902566432952881,0,0.7255131602287292,0.10918378829956055,0.42857142857142855,0.03928480610298792,0.0,55,2,1,0,0
rar_medicine:38,13,0.0,0,0.4433140158653259,0.09758637100458145,0.3125,0.03807921348407179,0.0,78,0,0,0,0
rar_medicine:39,10,0.2947584390640259,0,0.4553050994873047,0.10521595180034637,0.1,0.017278008846636297,0.0,45,0,0,0,0
rar_medicine:41,10,0.0,0,0.3119971752166748,0.07170668989419937,0.14285714285714285,0.02499247847287063,0.055842261761426926,45,0,0,0,0
rar_medicine:48,8,0.5110677480697632,0,0.4688243865966797,0.11591637134552002,0.3,0.04508089074790756,0.0,28,0,0,0,0
rar_medicine:49,8,0.06530696153640747,0,0.3565737307071686,0.13478292524814606,0.23076923076923078,0.06697211518640091,0.027019204571843147,28,0,0,0,0
rar_medicine:55,9,0.27904242277145386,0,0.6316386461257935,0.21714287996292114,0.36363636363636365,0.11542571778639893,0.0,36,2,0,0,0
rar_medicine:56,8,0.13303084671497345,0,0.4382786750793457,0.1297541856765747,0.14285714285714285,0.033995722768365697,0.13918691873550415,28,0,0,0,0
rar_medicine:57,9,0.0,0,0.34496307373046875,0.1946149468421936,0.21428571428571427,0.09547073440262294,0.0,36,0,0,0,0
rar_medicine:58,10,0.6064127683639526,0,0.5393693447113037,0.08249954134225845,0.3,0.025868945868945867,0.15034915506839752,45,1,0,0,0
rar_medicine:60,11,0.35786423087120056,0,0.5944080352783203,0.13706651329994202,0.2727272727272727,0.0419885706594122,0.0,55,1,0,0,0
rar_medicine:61,12,0.0,0,0.35248592495918274,0.06327911466360092,0.23529411764705882,0.02297112697478585,0.0,66,0,0,0,0
